foldset,H,B,F,end,embargo,fold,n_windows,n_pos,n_distinct_surg,base_rate
alt,150,60,730,e0a_2024-12-31,strict,train,10958,64,27,0.005840481839751779
alt,150,60,730,e0a_2024-12-31,strict,valid,8561,71,31,0.008293423665459643
alt,150,60,730,e0a_2024-12-31,strict,test,9689,81,39,0.008359995871606978
alt,150,60,INF,cons_2023-12-31,none,train,11346,64,27,0.005640754450907809
alt,150,60,INF,cons_2023-12-31,none,valid,10914,74,32,0.00678028220634048
alt,150,60,INF,cons_2023-12-31,none,test,12647,80,40,0.006325610816794496
alt,150,60,INF,cons_2023-12-31,strict,train,11346,64,27,0.005640754450907809
alt,150,60,INF,cons_2023-12-31,strict,valid,10914,74,32,0.00678028220634048
alt,150,60,INF,cons_2023-12-31,strict,test,12647,80,40,0.006325610816794496
alt,150,60,INF,e0a_2024-12-31,none,train,11346,64,27,0.005640754450907809
alt,150,60,INF,e0a_2024-12-31,none,valid,10914,74,32,0.00678028220634048
alt,150,60,INF,e0a_2024-12-31,none,test,13899,82,40,0.0058997050147492625
alt,150,60,INF,e0a_2024-12-31,strict,train,11346,64,27,0.005640754450907809
alt,150,60,INF,e0a_2024-12-31,strict,valid,10914,74,32,0.00678028220634048
alt,150,60,INF,e0a_2024-12-31,strict,test,13899,82,40,0.0058997050147492625
alt,150,90,30,cons_2023-12-31,none,train,6611,30,18,0.004537891393132658
alt,150,90,30,cons_2023-12-31,none,valid,2977,10,8,0.003359086328518643
alt,150,90,30,cons_2023-12-31,none,test,4103,29,21,0.0070679990251035826
alt,150,90,30,cons_2023-12-31,strict,train,6611,30,18,0.004537891393132658
alt,150,90,30,cons_2023-12-31,strict,valid,2977,10,8,0.003359086328518643
